ROSN,NVTK,GAZP,LKOH,SIBN,GMKN,PLZL,TATN,PHOR,CHMF,YNDX,NLMK,MTSS,RUAL,ALRS,PIKK,IRAO,MAGN,MGNT,FIVE,OZON,HYDR,BANE,FIXP,POLY,ENPG,MOEX,RTKM,IRKT,RSTI,UNAC,NKNC,RASP,MGTS,SMLT,KAZT,AFLT,FESH,AFKS,FLOT,LSNG,FEES,GCHE,VKCO,KMAZ,UPRO,TRMK,POSI,MSNG,MTLR,AGRO,YAKG,OGKB,LENT,SGZH,GLTR,LSRG,BELU,AQUA,MSRS,UKUZ,SELG,KUBE,DSKY,MDMG,GEMC,QIWI,TGKA,RNFT,MRKS,MVID,ETLN,MRKK,UTAR,AMEZ,DVEC,ABRD,NKHP,SFTL,MRKP,SVAV,MRKU,VRSB,CHMK,KROT,MRKC,TGKD,TTLK,RTSB,TNSE,TGKN,URKZ,KRSB,NNSB,KCHE,ISKJ,BRZL,TGKB,OKEY,EELT,MRKY,PMSB,MRKV,YRSB,KGKC,MISB,KBSB,GTRK,NAUK,YKEN,MRKZ,CNTL,MAGE,PRFN,HMSG,NFAZ,GECO,TORS,NKSH,ROLO,ORUP,KLSB,GEMA,ROST,NSVZ,LIFE,DIOD,ASSB,MRSB,VLHZ,RUGR,IRGZ,RUSP,MGNZ,CHEP
5 757,711.8,6 321,5 639,2 000,1 117,364.2,795.8,253.9,485.8,218.3,667.0,494.9,618.0,217.1,380.2,986.0,460.2,1 554,1 978,104.4,382.8,532.6,190.0,206.7,749.0,48.6,546.9,118.0,1 002,431.9,154.0,44.7,41.2,60.2,53.1,302.2,62.2,691.6,96.8,82.7,237.3,128.8,100.5,213.3,75.3,222.6,5.53,180.9,265.5,159.0,6.30,120.7,445.5,69.0,68.4,118.1,63.3,8.34,164.0,27.6,33.3,49.6,142.9,19.1,21.4,26.0,88.9,133.2,57.8,418.0,78.7,27.7,58.3,24.6,107.7,10.1,7.65,112.1,96.7,66.0,88.6,26.4,113.6,14.1,97.6,55.1,9.80,44.0,236.3,12.8,10.3,31.1,41.1,15.2,1.08,6.20,43.9,174.3,3.53,41.1,40.5,60.4,16.7,7.14,7.40,50.3,10.0,1.85,20.3,48.3,1.62,10.9,5.50,46.5,27.2,0.362,6.62,6.97,2.76,10.9,22.5,0.243,3.93,1.14,0.370,0.520,11.6,7.00,2.58,8.06,115.1,14.6,7.84,124.0
1 745,171.9,1 919,776.6,517.1,603.4,220.8,200.4,94.3,155.3,32.6,164.4,155.5,78.7,96.5,-50.6,101.7,89.4,149.6,102.0,6.57,99.0,64.0,30.3,84.4,136.7,-44.3,136.8,-6.20,307.0,11.8,37.3,13.3,19.5,-15.1,9.88,23.0,9.80,136.8,66.2,29.0,138.8,16.8,23.0,10.8,21.0,48.7,1.26,27.9,37.9,12.1,0.490,18.9,27.3,14.7,25.2,0.236,6.11,0.503,38.6,8.96,10.7,5.21,16.7,6.52,5.64,6.10,21.3,32.0,4.58,31.0,3.91,-4.55,19.1,3.23,7.00,0.419,5.24,2.90,13.9,-2.00,8.97,0.488,-3.76,-0.350,12.7,7.35,3.62,0.464,2.68,1.81,3.52,1.40,-0.933,2.65,0.054,1.06,8.23,12.0,0.390,5.40,1.48,5.92,0.270,1.15,0.313,1.29,0.550,0.333,1.67,4.35,-1.06,1.51,0.120,4.34,0.943,-0.062,0.239,-0.600,-0.790,-0.497,0.309,0.135,0.012,0.155,-0.233,0.089,0.316,0.255,0.013,0.078,14.0,1.13,0.351,16.9
15 353,2 059,23 352,5 992,4 259,1 529,538.9,1 264,320.0,546.4,515.6,728.6,919.0,1 077,519.0,648.8,865.0,553.6,945.4,1 173,154.6,942.0,787.7,82.1,324.4,1 674,4 933,1 000,233.4,2 731,978.0,268.6,202.0,123.6,96.0,69.9,1 016,54.7,1 421,572.0,219.5,1 340,166.3,291.0,228.5,135.3,419.0,6.50,407.0,193.8,276.1,22.9,224.4,247.6,89.4,98.3,282.4,63.5,19.8,357.3,121.6,75.4,75.9,97.0,32.0,28.5,83.3,190.8,275.3,74.3,390.1,186.5,28.1,86.1,17.8,57.6,20.5,12.7,47.8,118.2,67.6,93.8,6.15,284.3,12.4,122.0,94.0,12.1,9.40,79.4,12.2,35.9,5.32,19.2,23.6,1.51,17.4,73.0,101.5,2.34,42.8,6.77,61.5,5.51,9.97,3.05,11.8,9.91,5.73,62.4,48.7,1.42,10.7,4.16,62.1,8.81,0.859,4.66,3.58,13.8,31.2,7.05,0.653,9.67,1.81,2.05,1.40,4.69,1.37,1.09,6.93,313.6,20.2,4.94,131.6
4 691,1 620,14 238,4 123,2 085,297.3,173.9,827.7,107.6,201.6,324.8,349.4,28.7,483.4,264.0,180.2,616.0,338.5,182.9,94.8,79.2,600.0,471.5,-3.60,144.8,233.2,139.2,180.1,-102.3,1 216,-151.6,137.6,79.0,84.7,9.02,32.8,-107.8,3.20,64.9,294.2,145.0,951.0,71.4,180.0,49.0,120.5,69.7,2.50,329.8,-244.3,126.0,11.9,144.6,97.3,8.74,46.9,91.7,20.1,11.7,177.4,-34.7,20.7,32.8,-2.63,19.6,10.5,31.7,128.3,36.4,17.3,33.6,51.1,-25.1,-25.6,8.75,18.2,10.2,7.88,7.55,61.4,16.6,47.2,1.22,36.5,7.97,46.9,45.2,7.76,-1.48,-1.66,6.54,31.7,1.65,-8.00,4.72,0.194,16.4,27.7,13.5,1.17,2.84,1.96,38.5,-1.90,4.84,1.12,-0.914,4.93,2.97,1.06,18.6,0.790,3.02,1.44,9.83,1.06,0.433,3.40,-2.20,3.96,15.0,1.07,0.210,-3.10,0.770,1.01,1.20,0.142,0.162,0.330,-12.2,90.5,7.40,3.13,7.52
6 366,222.1,4 907,659.7,785.0,711.7,262.6,34.6,159.1,193.0,83.3,257.5,429.5,575.6,167.8,232.0,3.05,71.7,166.1,262.0,24.9,206.0,138.6,15.7,128.3,915.2,0.000,404.9,190.6,564.0,581.9,97.3,0.000,1.26,33.2,24.5,751.9,31.7,724.0,175.3,31.4,243.6,69.0,45.2,95.1,0.000,200.3,1.40,15.1,317.0,114.9,7.30,44.9,79.0,53.3,32.0,102.6,20.5,6.72,85.5,139.2,40.7,29.5,56.6,6.80,14.3,6.56,17.3,93.8,39.4,47.9,50.5,11.2,61.5,5.45,16.6,6.61,3.19,14.0,29.0,12.3,22.8,1.64,216.7,0.000,47.4,33.3,0.000,4.94,0.042,2.19,2.24,0.000,5.04,13.1,0.180,0.000,13.2,36.2,0.194,21.3,0.000,8.62,2.54,2.16,0.980,4.19,3.46,1.37,21.2,16.6,0.000,1.80,1.70,22.2,2.00,0.323,0.077,2.25,5.55,13.1,4.10,0.000,4.59,0.330,0.400,0.044,0.071,0.426,0.440,16.4,186.9,6.90,1.000,86.1
437.2,1 264,212.7,5 183,317.3,23 750,15 258,514.2,3 138,1 320,5 140,209.0,330.0,35.5,98.8,598.6,5.32,55.9,5 668,2 753,3 297,0.784,1 661,716.0,1 741,774.0,159.2,96.8,24.8,1.76,0.398,91.5,156.5,2 240,956.0,156.0,71.4,11.6,28.8,90.2,5.31,0.224,1 973,1 983,64.7,2.80,61.6,1 000,2.07,79.1,831.8,53.2,0.732,262.9,8.10,455.2,870.8,1 395,261.5,1.39,514.0,45.5,68.9,135.7,457.4,926.6,761.0,0.011,233.0,0.383,715.1,124.5,28.8,6.70,7.28,0.828,199.5,331.0,501.0,0.253,265.5,0.158,67.0,2 785,370.5,0.402,0.004,0.419,0.480,1 005,0.003,15 880,8.00,2 500,0.202,38.2,976.0,0.004,64.0,7.40,0.049,145.0,0.068,162.0,51.0,12.9,128.5,41.5,196.2,0.380,0.054,15.4,8.93,1.59,311.0,234.0,17.9,0.386,21.4,7.84,30.2,11.2,690.0,64.0,194.0,6.85,7.02,0.796,0.363,70.9,8.55,11.6,0.750,5 990,253.0
10 598,3 036,23 673,652.5,4 741,158.2,133.6,2 179,129.5,837.7,366.0,5 993,1 998,15 193,7 365,660.5,104 400,11 174,101.9,271.6,203.7,439 289,147.8,850.0,471.8,638.8,2 276,3 283,4 033,195 996,310 891,1 611,682.9,79.8,60.3,234.1,2 445,2 951,9 650,2 375,8 524,1 274 665,41.0,226.1,707.2,63 049,1 033,60.0,39 749,416.3,134.5,826.9,110 441,487.9,11 940,178.7,100.2,15.8,87.9,48 707,36.1,842.4,334.7,739.0,75.1,90.0,60.9,3 854 341,294.1,94 815,179.8,295.0,999.4,3 702,498.5,17 207,98.0,67.6,183.7,112 698,34.3,87 431,56.2,3.16,9.22,42 218,1 912 505,20 844,8 129,13.7,1 357 946,0.548,596.0,3.92,41 852,75.0,7.03,1 458 405,269.1,610.0,151 641,36.2,181 095,17.1,122.5,121.8,17.9,58.5,11.8,7 964,95 786,166.2,463.8,838.3,23.4,8.04,83.0,3 819,63.7,3 000,113.1,91.5,1.49,16.3,1.20,151.7,91.5,773.9,1 345,5.01,43.0,4 767,5 013,0.398,472.4
4 633,3 837,5 034,3 382,1 504,3 758,2 038,1 191,406.4,1 105,1 881,1 253,659.4,538.8,727.5,395.4,555.7,624.8,577.6,747.6,671.6,344.5,280.1,608.6,821.5,494.5,362.5,335.7,100.0,349.6,123.7,164.7,106.9,207.9,57.6,37.1,174.6,34.1,277.9,214.3,59.5,285.0,81.0,448.4,45.8,176.3,63.6,66.0,82.5,43.6,111.9,44.0,80.8,128.3,96.7,81.4,87.3,22.0,23.0,67.8,18.6,44.4,23.1,100.3,34.4,83.4,46.4,43.4,68.5,36.3,128.6,36.7,28.8,24.8,3.63,14.2,19.6,22.4,92.0,28.5,9.10,13.8,4.58,8.81,3.81,17.0,7.29,8.72,4.34,13.7,4.03,8.70,6.16,10.5,8.52,2.86,6.86,5.77,17.2,4.51,7.36,6.79,12.3,3.18,6.97,1.70,2.30,2.42,2.31,3.51,5.20,3.28,5.13,1.33,7.29,1.88,1.48,1.63,1.36,23.5,3.41,1.03,1.03,1.04,0.23,1.04,0.64,0.62,0.49,0.35,0.37,55.2,3.76,2.39,119.5
27.6,22.7,37.3,222.5,12.8,15.3,17.1,11.5,9.37,14.8,92.2,14.0,10.7,7.01,22.6,4.58,7.36,14.3,17.5,20.9,-30.2,5.14,-25.2,34.6,10.8,10.00,14.4,14.4,-1.46,7.96,-0.81,18.3,8.40,16.1,17.8,51.5,-1.55,4.24,17.4,9.87,4.96,4.11,5.83,-21.5,13.9,10.8,2.62,43.7,10.2,54.0,4.59,67.7,6.08,7.35,-71.6,7.68,7.26,8.96,7.37,14.3,-0.90,185.2,-18.6,13.7,8.18,12.2,4.50,5.26,-4.03,-71.1,19.7,18.0,-2.51,7.92,6.72,13.1,17.8,9.73,-575.2,4.46,-4.27,22.2,6.43,-18.0,-19.0,8.28,186.9,4.69,21.0,-3.47,12.7,3.26,7.18,-2.72,3.74,39.2,6.47,0.57,9.87,12.2,-6.03,9.18,-102.3,-1.84,21.7,6.53,-4.59,36.7,136.1,-1.76,-4.56,24.1,5.52,66.6,-8.89,2.45,-32.3,-4.81,-0.32,-55.2,6.09,13.2,8.38,-0.57,7.06,-1.98,18.4,2.08,5.95,9.85,-0.28,41.8,-289.0,12.5,19.1
0.80,5.39,0.80,0.60,0.75,3.36,5.60,1.50,1.60,2.28,8.62,1.88,1.33,0.87,3.35,1.04,0.56,1.36,0.37,0.38,6.44,0.90,0.53,3.20,3.98,0.66,7.46,0.61,0.85,0.35,0.29,1.07,2.39,5.05,0.96,0.70,0.58,0.55,0.40,2.21,0.72,1.20,0.63,4.46,0.21,2.34,0.29,11.9,0.46,0.16,0.70,6.98,0.67,0.29,1.40,1.19,0.74,0.35,2.76,0.41,0.67,1.33,0.47,0.70,1.80,3.90,1.78,0.49,0.51,0.63,0.31,0.47,1.04,0.43,0.15,0.13,1.95,2.92,0.82,0.30,0.14,0.16,0.17,0.08,0.27,0.17,0.13,0.89,0.10,0.06,0.32,0.84,0.20,0.26,0.56,2.64,1.11,0.13,0.10,1.28,0.18,0.17,0.20,0.19,0.98,0.23,0.05,0.24,1.25,0.17,0.11,2.03,0.47,0.24,0.16,0.07,4.10,0.25,0.20,8.52,0.31,0.05,4.24,0.27,0.20,2.81,1.24,0.05,0.07,0.14,0.05,0.48,0.26,0.30,0.96
