ROSN,NVTK,GAZP,LKOH,SIBN,GMKN,PLZL,TATN,PHOR,CHMF,YNDX,NLMK,MTSS,RUAL,ALRS,PIKK,MAGN,MGNT,FIVE,OZON,HYDR,BANE,FIXP,POLY,ENPG,MOEX,RTKM,IRKT,UNAC,RASP,MGTS,SMLT,AFLT,FESH,AFKS,FLOT,LSNG,GCHE,VKCO,KMAZ,UPRO,TRMK,POSI,MSNG,MTLR,AGRO,YAKG,OGKB,LENT,SGZH,GLTR,LSRG,BELU,MSRS,UKUZ,SELG,KUBE,DSKY,MDMG,GEMC,QIWI,TGKA,RNFT,MRKS,MVID,ETLN,MRKK,UTAR,AMEZ,DVEC,ABRD,NKHP,SFTL,WUSH,MRKP,SVAV,MRKU,VRSB,CHMK,KROT,MRKC,TGKD,TTLK,RTSB,TNSE,TGKN,URKZ,KRSB,NNSB,KCHE,ISKJ,BRZL,RZSB,TGKB,OKEY,EELT,MRKY,PMSB,MRKV,YRSB,KGKC,IGST,MISB,SLEN,KBSB,GTRK,NAUK,YKEN,MRKZ,CNTL,MAGE,PRFN,HMSG,NFAZ,VGSB,GECO,TORS,NKSH,ROLO,ORUP,KLSB,KTSB,GEMA,ROST,NSVZ,LIFE,DIOD,ASSB,MRSB,VLHZ,RUGR,IRGZ,MGNZ
8 761,1 157,10 241,9 431,3 068,1 317,360.7,1 205,420.5,835.5,356.2,1 191,534.4,883.7,327.0,487.8,873.2,1 856,2 205,178.2,406.0,851.7,230.5,212.9,1 041,54.9,580.1,209.7,468.2,153.8,41.1,93.0,491.7,113.7,773.2,113.5,93.5,160.2,126.1,269.2,88.1,429.0,7.08,225.2,402.1,222.9,7.79,141.6,483.6,92.4,73.2,130.5,74.9,184.7,40.1,35.6,58.0,164.3,25.2,25.3,23.1,102.3,269.4,60.7,476.4,87.1,34.6,75.5,40.1,118.8,11.6,6.38,148.8,4.13,106.7,91.7,96.5,28.8,176.3,15.8,108.1,60.3,9.94,48.6,256.6,13.0,15.1,33.6,44.9,13.8,1.18,6.37,11.6,47.0,187.1,4.56,43.4,44.1,64.9,17.8,7.54,28.0,8.07,10.9,55.4,12.4,2.39,22.6,50.4,1.48,12.0,9.90,57.2,33.1,26.2,0.397,7.30,7.46,5.95,8.22,24.6,9.30,0.266,6.21,1.50,0.440,0.602,12.1,6.95,3.60,11.2,131.8,9.19
1 166,419.5,3 015,1 127,941.9,518.7,215.7,267.5,126.2,344.0,9.29,331.9,142.8,84.4,124.8,-170.3,198.8,169.5,163.7,-13.6,98.7,68.7,25.3,88.0,159.7,98.2,152.5,28.1,25.5,64.1,12.2,-97.3,94.8,38.1,121.6,44.4,39.1,21.0,20.9,4.62,26.3,95.3,2.07,34.2,73.5,30.7,0.955,33.1,33.6,13.1,27.3,-56.0,8.56,43.9,11.8,7.33,10.1,13.8,8.50,9.77,-4.51,17.9,40.1,6.51,19.9,-17.3,0.141,5.40,7.34,7.60,0.879,2.52,2.27,1.73,19.7,11.4,15.4,1.14,0.045,-0.990,21.0,11.3,4.22,2.13,5.75,1.59,2.02,1.32,-0.654,3.24,0.280,3.01,0.572,7.26,13.8,1.09,2.68,1.12,7.84,0.601,1.37,-1.52,0.580,5.13,-0.300,0.474,0.860,4.43,5.08,0.337,1.83,0.910,0.300,0.602,0.075,-0.061,0.405,1.94,1.89,0.078,0.513,0.350,0.243,0.516,0.263,-0.063,0.104,0.163,0.185,-0.210,0.694,26.1,0.960
16 457,2 458,27 047,6 865,4 960,1 741,595.1,1 502,405.4,644.1,515.5,903.3,1 016,1 212,423.7,1 061,721.8,1 209,1 287,241.3,930.5,916.1,84.9,382.7,1 936,6 143,1 103,303.4,1 187,211.8,131.9,207.1,1 106,119.6,1 755,544.1,235.0,194.8,297.9,271.3,127.4,694.6,9.37,379.1,237.5,362.3,27.2,210.1,288.0,209.3,108.3,348.9,78.5,382.4,76.5,85.3,76.9,117.7,34.3,28.6,83.9,194.7,287.0,76.7,443.4,222.1,17.8,95.5,31.2,59.4,21.6,11.3,90.7,5.15,130.5,72.2,101.6,6.10,252.9,13.2,130.3,82.6,14.5,8.30,74.3,12.5,39.9,6.21,19.5,31.6,1.74,20.5,2.08,75.4,106.9,3.96,37.7,7.50,64.8,5.00,9.80,12.7,2.85,38.7,10.4,10.9,5.94,56.9,49.9,1.61,14.1,4.24,64.8,9.35,6.85,0.816,4.71,3.96,15.9,29.9,6.75,2.08,0.679,9.06,2.43,1.43,1.42,3.62,1.41,1.33,7.45,359.5,6.12
5 532,1 894,16 251,4 515,2 348,273.8,258.1,938.4,164.6,311.6,258.2,476.4,9.77,775.4,223.6,256.6,468.3,179.0,87.6,30.6,619.7,554.9,8.00,163.7,429.0,140.1,187.5,-3.53,-160.8,106.9,99.7,10.6,-138.5,52.0,85.4,286.6,154.6,79.6,169.9,55.5,108.7,47.9,3.50,316.0,-162.9,147.9,12.3,142.8,111.0,46.2,56.5,92.8,25.8,185.6,-21.0,28.8,35.5,0.085,22.8,7.31,43.7,132.0,64.2,17.9,23.2,61.4,-46.7,10.8,20.4,20.2,11.2,9.21,36.9,2.41,68.6,27.7,52.0,2.52,43.1,9.97,50.2,39.0,9.44,-0.500,0.324,6.72,33.8,2.50,-7.00,8.08,0.234,19.1,0.926,31.0,13.9,1.29,-0.846,2.34,39.7,-1.65,4.69,-3.50,1.54,9.81,-63.0,5.10,2.54,-8.89,17.7,1.13,5.54,1.62,10.0,1.56,-6.25,0.526,3.42,-1.51,5.35,10.8,1.12,0.548,0.202,-3.00,1.32,0.345,1.23,0.230,0.223,0.385,-12.0,115.0,3.86
6 089,180.0,4 884,758.0,734.0,759.7,243.1,32.2,169.8,134.9,85.8,257.5,462.1,500.2,122.5,447.3,71.4,270.4,294.3,62.1,170.9,138.1,21.5,153.3,810.6,0.000,444.4,142.8,697.2,29.7,1.42,133.2,798.3,31.0,851.1,224.9,32.8,84.0,57.9,108.5,0.000,332.1,2.31,7.51,283.5,172.7,11.1,36.5,88.4,73.7,31.3,169.3,23.6,85.7,77.0,39.0,25.9,69.7,5.51,17.2,4.73,17.3,87.7,42.2,69.1,83.4,9.15,25.2,4.25,14.5,6.40,1.22,12.8,2.51,32.5,9.80,21.9,0.255,185.5,0.000,49.0,26.5,0.000,3.00,0.022,2.07,2.06,0.000,4.52,14.2,0.494,0.030,0.000,10.2,37.8,0.080,24.3,0.000,8.76,1.89,1.85,6.93,0.407,2.67,3.70,3.50,1.04,24.8,15.8,0.000,2.25,1.23,22.7,1.73,0.000,0.167,0.195,1.01,5.33,12.8,3.56,0.191,0.030,4.91,0.562,0.486,0.000,0.340,0.466,0.600,16.6,195.0,1.06
598.1,1 720,343.0,6 559,543.0,22 810,13 030,499.6,5 838,1 606,4 502,217.5,298.3,73.8,122.5,1 108,69.5,5 446,1 953,2 279,0.742,1 359,543.1,1 312,885.0,153.1,87.2,22.2,0.620,469.3,2 035,4 881,58.9,27.4,23.4,73.5,8.34,2 944,869.0,105.0,2.61,72.8,848.2,2.10,123.2,1 172,112.0,0.634,998.0,11.1,645.8,609.2,3 352,1.24,1 344,57.7,66.5,124.7,798.9,1 003,606.0,0.010,153.4,0.350,437.9,85.5,27.3,7.61,17.9,1.24,192.5,290.0,516.5,185.0,0.231,216.5,0.178,215.4,4 720,390.5,0.415,0.008,0.579,0.652,910.0,0.003,16 260,8.62,2 125,0.200,115.0,1 097,17.7,0.004,42.9,7.08,0.045,154.6,0.050,206.0,46.8,2 544,14.4,3.74,139.5,29.0,182.8,0.305,0.052,12.0,7.50,1.89,303.5,614.2,3.80,17.9,0.328,23.6,8.16,16.6,10.6,0.598,999.0,69.0,180.5,5.60,7.95,0.831,0.409,71.3,12.3,15.2,10 020
10 598,3 036,23 673,650.3,4 741,155.5,133.6,2 179,129.5,837.7,363.3,5 993,1 998,15 193,7 365,660.5,11 174,101.9,271.6,203.7,439 289,147.8,850.0,473.6,638.8,2 276,3 283,4 033,310 891,682.9,79.8,61.6,3 976,2 951,9 650,2 375,8 524,42.2,226.1,707.2,63 049,1 033,60.0,39 749,416.3,134.5,826.9,110 441,97.6,15 690,178.7,100.2,15.8,48 707,36.1,992.4,342.3,739.0,75.1,90.0,62.4,3 854 341,294.1,94 815,179.8,383.4,1 185,3 702,498.5,17 207,98.0,67.6,200.1,100.0,112 698,34.3,87 431,56.2,3.16,9.22,42 218,1 912 505,20 844,8 129,13.7,1 357 946,0.548,596.0,3.92,41 852,85.0,7.03,206.9,1 458 405,269.1,610.0,151 641,36.2,181 095,17.1,122.5,0.801,121.8,1 237,17.9,58.5,11.8,7 964,95 786,166.2,463.8,838.3,23.4,8.04,319.6,83.0,3 819,63.7,3 000,113.1,91.5,869.0,1.49,16.3,1.20,151.7,91.5,773.9,1 345,5.01,43.0,4 767,0.398
6 338,5 222,8 120,4 265,2 575,3 547,1 740,1 156,756.0,1 345,1 636,1 304,596.0,1 122,902.3,731.8,776.3,555.0,530.2,464.3,325.8,230.6,461.6,621.2,565.4,348.5,302.3,89.6,192.6,320.5,180.7,300.6,234.3,81.0,226.1,174.5,86.9,124.3,196.5,74.3,164.7,75.2,50.9,83.3,94.8,157.7,92.6,70.1,97.4,174.1,115.4,61.1,53.0,60.4,48.5,57.3,22.8,92.1,60.0,90.3,37.8,38.3,45.1,33.1,78.7,32.8,32.3,28.2,8.93,21.3,18.9,19.6,103.3,18.5,26.0,7.42,15.5,13.0,14.9,4.03,17.5,16.0,12.1,5.79,12.4,3.52,8.91,6.64,9.21,8.42,9.78,7.71,3.67,6.18,11.5,4.32,6.84,7.24,8.96,3.94,6.41,2.61,1.87,4.62,2.49,1.69,2.16,2.83,4.99,2.43,4.27,1.58,7.11,4.94,1.39,1.48,1.40,1.50,24.5,1.88,0.97,0.52,1.49,1.13,0.22,0.85,0.73,0.64,0.55,0.36,0.53,72.5,3.99
6.00,12.4,3.88,5.51,5.11,7.41,10.4,5.83,5.81,4.49,204.3,3.51,9.39,9.92,9.88,7.06,3.39,11.5,11.9,-8.17,4.16,2.77,21.6,9.23,3.58,12.6,10.6,15.6,-11.2,5.03,11.9,46.2,-6.80,2.17,-25.4,38.3,5.62,7.40,-12.7,18.3,9.23,10.8,26.6,28.8,1.18,3.80,98.2,15.8,7.14,11.4,8.89,3.75,13.8,5.77,3.52,5.68,12.2,9.16,9.84,14.8,3.94,5.39,1.39,47.3,-10.5,10.9,-1.16,1.05,0.76,12.9,14.0,8.23,71.8,10.3,2.61,3.05,4.05,12.5,2.30,-19.2,4.01,-3.85,4.85,6.65,3.67,27.7,4.28,5.25,19.4,2.51,814.6,2.86,7.24,1.86,6.41,10.6,-1.83,7.54,9.12,32.8,36.4,1.02,5.57,-2 310,33.7,8.86,-4.04,-0.28,-5.65,6.84,1.72,8.98,5.74,8.91,4.90,-10.9,63.5,2.81,25.6,-0.45,11.3,9.62,10.9,12.0,1.81,-1.21,8.27,7.31,4.47,0.74,2.39,69.0,5.47
0.72,4.51,0.79,0.45,0.84,2.69,4.83,0.96,1.80,1.61,4.59,1.09,1.12,1.27,2.76,1.50,0.89,0.30,0.24,2.61,0.80,0.27,2.00,2.92,0.54,6.35,0.52,0.43,0.41,2.08,4.39,3.23,0.48,0.71,0.29,1.54,0.93,0.78,1.56,0.28,1.87,0.18,7.19,0.37,0.24,0.71,11.9,0.49,0.20,1.88,1.58,0.47,0.71,0.33,1.21,1.61,0.39,0.56,2.38,3.57,1.64,0.37,0.17,0.55,0.17,0.38,0.94,0.37,0.22,0.18,1.63,3.08,0.69,4.48,0.24,0.08,0.16,0.45,0.08,0.26,0.16,0.27,1.21,0.12,0.05,0.27,0.59,0.20,0.21,0.61,8.28,1.21,0.32,0.13,0.06,0.95,0.16,0.16,0.14,0.22,0.85,0.09,0.23,0.42,0.04,0.14,0.90,0.13,0.10,1.65,0.36,0.16,0.12,0.15,0.05,3.74,0.19,0.20,4.11,0.23,0.04,0.06,5.61,0.18,0.14,1.93,1.21,0.05,0.08,0.10,0.05,0.55,0.43
