GAZP,GMKN,PLZL,TATN,PHOR,YNDX,MTSS,RUAL,OZON,HYDR,FIXP,ENPG,RASP,MGTS,SMLT,FESH,AFKS,LSNG,GCHE,VKCO,UPRO,POSI,AGRO,YAKG,LENT,SGZH,GLTR,LSRG,BELU,MSRS,SELG,KUBE,MDMG,GEMC,QIWI,CIAN,MRKS,MVID,ETLN,MRKK,DVEC,ABRD,NKHP,WUSH,MRKP,MRKU,KROT,MRKC,TTLK,TGKN,KRSB,KCHE,ISKJ,RZSB,TGKB,OKEY,EELT,MRKY,PMSB,MRKV,SLEN,GTRK,NAUK,YKEN,MRKZ,CNTL,MAGE,PRFN,VGSB,TORS,NKSH,ROLO,KLSB,KTSB,GEMA,ROST,NSVZ,LIFE,DIOD,ASSB,MRSB,VLHZ
11 674,1 185,288.5,1 427,569.5,521.7,541.8,957.9,277.1,418.6,277.6,1 134,194.2,42.6,172.2,162.6,912.7,95.2,184.3,128.8,105.8,12.4,240.2,7.58,537.4,102.8,81.6,139.7,97.3,199.7,34.7,64.2,25.2,23.7,34.1,8.27,64.8,402.5,80.6,41.3,126.1,13.8,4.96,6.96,114.0,103.0,18.2,114.6,10.3,14.4,36.2,15.0,1.14,12.2,47.4,202.2,7.13,44.1,45.6,66.8,12.5,15.4,2.32,25.3,53.3,1.33,11.9,9.57,26.2,8.41,9.71,6.00,25.3,9.87,0.255,6.28,1.58,0.380,0.561,12.2,6.77,3.54
2 193,323.3,130.2,357.7,203.3,41.7,190.6,-28.2,-18.8,66.2,36.8,39.2,65.4,19.4,-105.3,63.0,49.0,45.0,26.7,12.6,34.6,4.25,4.42,3.35,20.2,2.26,40.2,-70.6,6.15,67.4,14.5,15.0,7.73,7.08,14.9,1.92,7.81,3.76,-45.6,-18.5,7.30,0.805,2.48,2.15,28.9,14.1,0.530,23.9,3.47,3.15,1.76,1.27,0.220,0.678,2.06,13.0,-0.078,6.48,1.85,6.91,1.78,0.600,0.410,0.670,6.46,0.291,-0.540,0.450,0.433,0.910,0.810,2.37,0.337,0.000,0.245,1.10,0.095,-0.003,0.100,0.040,0.210,0.226
26 129,1 814,699.2,1 676,455.6,616.7,1 083,1 410,284.8,993.4,113.0,2 158,219.0,144.9,409.8,166.3,2 098,255.1,258.8,360.9,146.4,17.5,432.8,29.2,348.0,228.1,110.2,416.2,93.1,388.5,74.3,87.3,33.2,33.0,111.9,6.97,82.1,334.0,248.1,23.0,64.8,24.6,12.5,11.4,151.8,107.0,16.8,139.8,15.9,13.4,7.92,33.9,2.04,2.47,83.9,113.1,3.91,51.8,8.30,67.6,28.9,10.8,6.74,52.4,54.9,1.15,18.5,4.51,6.04,5.17,8.77,20.6,6.59,2.21,0.870,6.72,4.08,1.34,1.42,3.72,1.45,1.21
15 750,501.0,373.0,1 096,197.6,316.3,-9.37,865.7,-16.7,613.6,29.3,526.1,166.5,116.1,27.1,87.7,105.2,165.8,91.3,170.3,129.7,8.30,154.7,14.1,135.2,42.1,67.5,96.7,25.1,190.3,36.5,40.3,26.8,10.8,57.0,5.01,17.8,6.38,74.2,-24.9,23.4,12.6,11.2,4.87,73.3,51.2,10.5,52.4,11.2,4.36,3.14,9.40,0.341,1.27,38.9,13.5,2.04,-0.480,2.77,39.1,11.5,5.19,2.57,-0.750,17.4,0.782,3.48,1.82,-5.36,3.74,3.40,6.42,1.22,0.578,0.139,-2.69,1.33,0.121,1.21,0.240,0.318,0.520
5 066,807.7,247.7,14.5,190.8,51.2,486.1,665.2,94.1,222.8,21.9,956.6,0.000,0.000,282.6,30.6,1 061,29.5,123.4,124.5,0.000,4.80,233.4,9.63,81.1,123.8,20.7,215.1,38.1,67.7,58.5,24.9,1.46,16.9,3.92,0.000,42.1,95.7,93.1,13.4,14.9,7.47,0.360,5.61,32.4,23.7,0.000,46.1,0.000,1.72,0.000,13.5,0.708,0.000,12.3,45.5,0.104,23.3,0.000,10.2,5.64,2.31,0.727,33.0,18.5,0.000,4.72,0.790,0.000,0.065,0.650,5.34,3.32,0.241,0.225,4.74,1.08,0.500,0.000,0.000,0.330,0.326
162.8,15 290,7 676,348.4,6 398,1 814,235.6,40.1,1 405,0.761,337.1,374.0,227.2,1 345,2 418,33.7,11.9,8.50,2 711,436.0,1.35,1 258,661.0,123.7,691.0,4.58,270.2,462.6,2 768,1.01,43.6,56.5,419.7,308.3,411.0,361.2,0.247,160.8,46.4,11.8,0.938,191.0,288.5,163.5,0.248,0.196,504.5,0.319,0.510,0.003,8.69,0.180,62.1,19.1,0.004,24.3,6.22,0.033,111.5,0.026,3.04,50.7,192.0,0.264,0.026,9.98,4.68,2.13,3.44,0.287,22.9,7.37,9.17,0.598,799.5,58.2,147.0,4.20,7.68,0.758,0.315,72.2
23 673,152.9,133.6,2 179,129.5,361.5,1 998,15 193,203.7,439 289,850.0,638.8,665.7,79.8,61.6,2 951,9 650,8 524,42.2,226.1,63 049,66.0,134.5,826.9,116.0,15 690,178.7,103.0,15.8,48 707,1 030,363.3,75.1,90.0,62.7,71.3,94 815,179.8,383.4,1 828,17 207,98.0,67.6,111.4,112 698,87 431,9.22,42 218,20 844,1 357 946,596.0,41 852,85.0,206.9,1 458 405,269.1,610.0,151 641,36.2,181 095,1 237,58.5,11.8,7 964,95 786,166.2,463.8,838.3,319.6,3 819,63.7,3 000,91.5,869.0,1.49,16.3,4.70,151.7,91.5,773.9,1 345,5.01
3 853,2 337,1 025,809.3,828.5,655.7,470.8,609.5,286.2,334.1,286.5,238.9,151.2,120.6,148.9,99.4,114.5,83.5,114.4,98.6,85.0,83.0,88.9,102.3,80.1,71.8,48.3,47.7,43.7,49.3,44.9,20.5,31.5,27.7,25.8,25.8,23.4,28.9,17.8,21.6,16.1,18.7,19.5,18.2,27.9,17.1,5.21,13.5,10.6,3.39,6.65,7.59,5.28,3.94,5.29,6.54,3.79,5.02,5.41,4.74,3.75,2.96,2.26,2.45,2.48,2.06,2.57,1.79,1.26,1.23,1.46,22.1,0.84,0.52,1.19,0.95,0.69,0.64,0.70,0.59,0.42,0.36
2.94,5.82,9.17,2.84,4.54,60.9,14.1,4.96,-4.92,17.3,13.4,3.22,2.57,7.32,13.1,2.57,5.90,4.21,7.40,-3.62,4.00,13.6,13.1,55.9,16.5,11.9,1.94,3.57,5.18,3.66,11.0,3.60,5.25,8.49,1.84,53.7,-123.3,-4.30,1.37,31.8,5.96,10.7,9.95,21.9,2.53,4.00,9.15,2.74,4.02,6.06,5.16,5.98,114.7,4.75,3.67,9.14,4.02,14.8,4.92,-10.1,-0.60,29.6,21.8,0.31,-8.54,-44.8,-1.00,8.86,1.43,3.77,0.78,-33.0,8.65,17.3,10.6,2.90,49.4,-3.08,16.7,117.3,4.46,3.65
0.33,1.97,3.55,0.57,1.45,1.26,0.87,0.64,1.03,0.80,1.03,0.21,0.78,2.83,0.86,0.61,0.13,0.88,0.62,0.77,0.80,6.72,0.37,13.5,0.15,0.70,0.59,0.34,0.45,0.25,1.29,0.32,1.25,1.17,0.76,3.11,0.36,0.07,0.22,0.52,0.13,1.36,3.93,2.62,0.25,0.17,0.29,0.12,1.03,0.24,0.18,0.50,4.64,0.32,0.11,0.03,0.53,0.11,0.12,0.07,0.30,0.19,0.98,0.10,0.05,1.55,0.22,0.19,0.05,0.15,0.15,3.69,0.03,0.05,4.68,0.15,0.44,1.68,1.25,0.05,0.06,0.10
0.25,4.87,2.85,0.74,4.24,4.66,-2.70,0.89,-16.5,0.54,10.5,0.67,0.91,1.07,33.1,1.24,-0.74,0.51,1.35,-10.8,0.66,26.5,0.59,7.24,0.62,1.99,0.72,0.52,3.04,0.27,1.29,0.51,1.27,2.57,0.59,8.19,1.37,-0.41,0.24,-0.86,0.69,1.49,1.74,3.76,0.39,0.35,0.50,0.27,0.98,0.80,2.12,0.81,-13.4,3.11,0.14,0.53,1.90,-7.38,2.06,0.12,0.33,0.62,0.90,-3.27,0.15,2.75,0.74,0.98,-0.24,0.34,0.45,3.44,0.70,0.90,24.4,-0.30,0.59,-2.33,0.69,2.44,1.33,0.70
