ROSN,NVTK,GAZP,LKOH,SIBN,GMKN,PLZL,TATN,PHOR,CHMF,YNDX,NLMK,MTSS,RUAL,ALRS,PIKK,MAGN,MGNT,FIVE,OZON,HYDR,BANE,FIXP,POLY,ENPG,MOEX,RTKM,IRKT,UNAC,RASP,MGTS,SMLT,AFLT,FESH,AFKS,FLOT,LSNG,GCHE,VKCO,KMAZ
8 761,1 157,10 241,9 431,3 068,1 317,360.7,1 205,420.5,835.5,356.2,1 191,534.4,883.7,327.0,487.8,873.2,1 856,2 205,178.2,406.0,851.7,230.5,212.9,1 041,54.9,580.1,209.7,468.2,153.8,41.1,93.0,491.7,113.7,773.2,113.5,93.5,160.2,126.1,269.2
1 166,419.5,3 015,1 127,941.9,518.7,215.7,267.5,126.2,344.0,9.29,331.9,142.8,84.4,124.8,-170.3,198.8,169.5,163.7,-13.6,98.7,68.7,25.3,88.0,159.7,98.2,152.5,28.1,25.5,64.1,12.2,-97.3,94.8,38.1,121.6,44.4,39.1,21.0,20.9,4.62
16 457,2 458,27 047,6 865,4 960,1 741,595.1,1 502,405.4,644.1,515.5,903.3,1 016,1 212,423.7,1 061,721.8,1 209,1 287,241.3,930.5,916.1,84.9,382.7,1 936,6 143,1 103,303.4,1 187,211.8,131.9,207.1,1 106,119.6,1 755,544.1,235.0,194.8,297.9,271.3
5 532,1 894,16 251,4 515,2 348,273.8,258.1,938.4,164.6,311.6,258.2,476.4,9.77,775.4,223.6,256.6,468.3,179.0,87.6,30.6,619.7,554.9,8.00,163.7,429.0,140.1,187.5,-3.53,-160.8,106.9,99.7,10.6,-138.5,52.0,85.4,286.6,154.6,79.6,169.9,55.5
6 089,180.0,4 884,758.0,734.0,759.7,243.1,32.2,169.8,134.9,85.8,257.5,462.1,500.2,122.5,447.3,71.4,270.4,294.3,62.1,170.9,138.1,21.5,153.3,810.6,0.000,444.4,142.8,697.2,29.7,1.42,133.2,798.3,31.0,851.1,224.9,32.8,84.0,57.9,108.5
598.1,1 720,343.0,6 559,543.0,22 810,13 030,499.6,5 838,1 606,4 502,217.5,298.3,73.8,122.5,1 108,69.5,5 446,1 953,2 279,0.742,1 359,543.1,1 312,885.0,153.1,87.2,22.2,0.620,469.3,2 035,4 881,58.9,27.4,23.4,73.5,8.34,2 944,869.0,105.0
10 598,3 036,23 673,650.3,4 741,155.5,133.6,2 179,129.5,837.7,363.3,5 993,1 998,15 193,7 365,660.5,11 174,101.9,271.6,203.7,439 289,147.8,850.0,473.6,638.8,2 276,3 283,4 033,310 891,682.9,79.8,61.6,3 976,2 951,9 650,2 375,8 524,42.2,226.1,707.2
6 338,5 222,8 120,4 265,2 575,3 547,1 740,1 156,756.0,1 345,1 636,1 304,596.0,1 122,902.3,731.8,776.3,555.0,530.2,464.3,325.8,230.6,461.6,621.2,565.4,348.5,302.3,89.6,192.6,320.5,180.7,300.6,234.3,81.0,226.1,174.5,86.9,124.3,196.5,74.3
6.00,12.4,3.88,5.51,5.11,7.41,10.4,5.83,5.81,4.49,204.3,3.51,9.39,9.92,9.88,7.06,3.39,11.5,11.9,-8.17,4.16,2.77,21.6,9.23,3.58,12.6,10.6,15.6,-11.2,5.03,11.9,46.2,-6.80,2.17,-25.4,38.3,5.62,7.40,-12.7,18.3
0.72,4.51,0.79,0.45,0.84,2.69,4.83,0.96,1.80,1.61,4.59,1.09,1.12,1.27,2.76,1.50,0.89,0.30,0.24,2.61,0.80,0.27,2.00,2.92,0.54,6.35,0.52,0.43,0.41,2.08,4.39,3.23,0.48,0.71,0.29,1.54,0.93,0.78,1.56,0.28
1.18,2.76,0.50,0.95,1.16,14.0,7.07,1.23,4.64,4.61,13.9,2.89,-4.48,1.88,4.06,3.04,1.67,8.23,-30.5,15.8,0.53,0.42,70.2,3.82,2.13,3.29,7.86,-25.2,-0.84,3.00,1.89,31.4,-1.65,1.82,-1.57,0.61,0.56,1.65,15.1,1.70
5.04,7.16,2.98,3.10,3.07,5.02,7.26,3.53,4.71,3.30,50.2,2.85,4.30,6.92,6.91,9.30,2.36,5.65,4.95,-9.72,3.52,2.29,13.9,6.89,4.09,6.78,3.19,6.59,18.9,3.27,7.33,12.6,8.06,2.12,3.76,7.03,2.63,6.72,7.83,8.55
